episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
1,300,-69.808,0,B,,25,0.0,,0,0.7,300
2,300,-76.25,0,B,,17,0.0,,0,0.9,600
3,300,-58.48,0,B,,10,0.0,,0,1.1,900
4,300,-78.955,0,B,,1,0.0,,0,1.3,1200
5,300,-72.37,0,B,,10,0.0,,0,1.4,1500
6,300,-49.34,0,B,,10,0.0,,0,1.6,1800
7,300,-63.205,0,B,,18,0.0,,0,1.8,2100
8,300,-77.03,0,B,,25,0.0,,0,2.0,2400
9,300,-67.789,0,B,,8,0.0,,0,2.2,2700
10,300,-57.725,0,B,,16,0.0,,0,2.4,3000
11,300,-51.073,0,B,,17,0.0,,0,2.6,3300
12,300,-79.245,0,B,,0,0.0,,0,2.8,3600
13,300,-67.801,0,B,,16,0.0,,0,2.9,3900
14,300,-75.984,0,B,,10,0.0,,0,3.1,4200
15,300,-71.067,0,B,,0,0.0,,0,3.3,4500
16,300,-74.042,0,B,,16,0.0,,0,3.5,4800
17,300,-70.847,0,B,,9,0.0,,0,5.9,5100
18,300,-74.873,0,B,,25,0.0,,0,12.5,5400
19,300,-68.286,0,B,,9,0.0,,0,19.3,5700
20,300,-86.443,0,B,,24,0.0,,0,25.9,6000
21,300,-70.079,0,B,,24,0.0,,0,32.7,6300
22,300,-84.773,0,B,,24,0.0,,0,39.5,6600
23,300,-52.019,0,B,,9,0.0,,0,46.2,6900
24,300,-93.916,0,B,,8,0.0,,0,52.9,7200
25,300,-68.034,0,B,,16,0.0,,0,59.6,7500
26,300,-58.808,0,B,,25,0.0,,0,66.0,7800
27,300,-53.198,0,B,,18,0.0,,0,72.8,8100
28,237,-20.333,1,B,,20,0.0,,0,78.2,8337
29,300,-52.665,0,B,,1,0.0,,0,84.9,8637
30,300,-41.422,0,B,,17,0.0,,0,91.6,8937
31,300,-54.283,0,B,,17,0.0,,0,98.4,9237
32,300,-61.251,0,B,,9,0.0,,0,105.1,9537
33,300,-69.013,0,B,,9,0.0,,0,111.8,9837
34,300,-54.227,0,B,,9,0.0,,0,118.1,10137
35,300,-53.835,0,B,,17,0.0,,0,123.4,10437
36,300,-48.131,0,B,,10,0.0,,0,128.8,10737
37,300,-42.782,0,B,,9,0.0,,0,134.1,11037
38,300,-61.103,0,B,,16,0.0,,0,139.2,11337
39,300,-47.62,0,B,,10,0.0,,0,144.6,11637
40,300,-65.371,0,B,,16,0.0,,0,150.0,11937
41,300,-65.504,0,B,,16,0.0,,0,155.6,12237
42,300,-55.808,0,B,,1,0.0,,0,160.7,12537
43,300,-59.149,0,B,,1,0.0,,0,165.9,12837
44,300,-42.456,0,B,,10,0.0,,0,171.0,13137
45,300,-46.766,0,B,,9,0.0,,0,176.2,13437
46,300,-45.989,0,B,,10,0.0,,0,181.6,13737
47,300,-58.043,0,B,,9,0.0,,0,186.6,14037
48,300,-36.952,0,B,,10,0.0,,0,191.7,14337
49,300,-52.093,0,B,,9,0.0,,0,196.9,14637
