episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
1,300,-78.339,0,B,25,25,0.0,,0,0.5,300
2,1,-0.193,0,B,25,17,0.0,stuck,1,0.5,301
3,300,-85.077,0,B,17,17,0.0,,1,0.9,601
4,1,-0.18,0,B,17,9,0.0,stuck,2,0.9,602
5,300,-51.595,0,B,9,9,0.0,,2,1.3,902
6,1,-0.162,0,B,9,9,0.0,stuck,3,1.3,903
7,300,-91.552,0,B,9,9,0.0,,3,1.6,1203
8,1,-0.193,0,B,9,9,0.0,stuck,4,1.6,1204
9,300,-86.124,0,B,9,9,0.0,,4,2.0,1504
10,1,-0.164,0,B,9,18,0.0,stuck,5,2.0,1505
11,300,-58.746,0,B,18,18,0.0,,5,2.3,1805
12,1,-0.154,0,B,18,18,0.0,stuck,6,2.3,1806
13,300,-80.535,0,B,18,18,0.0,,6,2.7,2106
14,1,-0.154,0,B,18,17,0.0,stuck,7,2.7,2107
15,300,-90.123,0,B,17,17,0.0,,7,2.9,2407
16,1,-0.176,0,B,17,8,0.0,stuck,8,2.9,2408
17,300,-66.288,0,B,8,8,0.0,,8,3.2,2708
18,1,-0.22,0,B,8,16,0.0,stuck,9,3.2,2709
19,300,-68.512,0,B,16,16,0.0,,9,3.7,3009
20,1,-0.205,0,B,16,17,0.0,stuck,10,3.7,3010
21,300,-63.389,0,B,17,17,0.0,,10,4.1,3310
22,1,-0.184,0,B,17,8,0.0,stuck,11,4.1,3311
23,300,-83.54,0,B,8,8,0.0,,11,4.5,3611
24,1,-0.207,0,B,8,16,0.0,stuck,12,4.5,3612
25,300,-78.665,0,B,16,16,0.0,,12,4.8,3912
26,1,-0.209,0,B,16,10,0.0,stuck,13,4.8,3913
27,300,-75.616,0,B,10,10,0.0,,13,5.2,4213
28,1,-0.152,0,B,10,8,0.0,stuck,14,5.2,4214
29,300,-84.499,0,B,8,8,0.0,,14,5.5,4514
30,1,-0.206,0,B,8,16,0.0,stuck,15,5.5,4515
31,300,-79.825,0,B,16,16,0.0,,15,5.9,4815
32,1,-0.212,0,B,16,9,0.0,stuck,16,5.9,4816
33,300,-81.024,0,B,9,9,0.0,,16,10.7,5116
34,1,-0.191,0,B,9,17,0.0,stuck,17,10.7,5117
35,300,-78.88,0,B,17,17,0.0,,17,21.5,5417
36,1,-0.198,0,B,17,9,0.0,stuck,18,21.5,5418
37,300,-81.101,0,B,9,9,0.0,,18,33.0,5718
38,1,-0.169,0,B,9,16,0.0,stuck,19,33.1,5719
39,300,-93.085,0,B,16,16,0.0,,19,44.0,6019
40,1,-0.211,0,B,16,17,0.0,stuck,20,44.0,6020
41,300,-87.909,0,B,17,16,0.0,,20,56.0,6320
42,57,-12.767,0,B,16,16,0.0,stuck,21,58.2,6377
43,300,-76.776,0,B,16,16,0.0,,21,70.2,6677
44,1,-0.203,0,B,16,9,0.0,stuck,22,70.3,6678
45,300,-54.262,0,B,9,9,0.0,,22,82.0,6978
46,1,-0.172,0,B,9,9,0.0,stuck,23,82.0,6979
47,300,-89.761,0,B,9,9,0.0,,23,94.0,7279
48,1,-0.201,0,B,9,9,0.0,stuck,24,94.0,7280
49,300,-80.374,0,B,9,9,0.0,,24,105.6,7580
50,1,-0.182,0,B,9,25,0.0,stuck,25,105.7,7581
51,300,-66.629,0,B,25,25,0.0,,25,117.0,7881
52,1,-0.189,0,B,25,18,0.0,stuck,26,117.1,7882
53,300,-60.712,0,B,18,18,0.0,,26,129.4,8182
54,1,-0.157,0,B,18,17,0.0,stuck,27,129.5,8183
55,300,-51.455,0,B,17,17,0.0,,27,144.0,8483
56,1,-0.179,0,B,17,9,0.0,stuck,28,144.1,8484
57,300,-65.027,0,B,9,9,0.0,,28,158.6,8784
58,1,-0.182,0,B,9,17,0.0,stuck,29,158.7,8785
59,300,-59.714,0,B,17,17,0.0,,29,171.6,9085
60,1,-0.171,0,B,17,17,0.0,stuck,30,171.6,9086
61,38,-7.686,0,B,17,9,0.0,escape,31,173.1,9124
62,300,-68.631,0,B,9,9,0.0,,31,185.5,9424
63,1,-0.198,0,B,9,9,0.0,stuck,32,185.5,9425
64,300,-62.78,0,B,9,9,0.0,,32,198.5,9725
65,1,-0.198,0,B,9,9,0.0,stuck,33,198.6,9726
66,300,-57.879,0,B,9,8,0.0,,33,211.6,10026
67,268,-72.461,0,B,8,17,0.0,stuck,34,226.0,10294
68,300,-62.076,0,B,17,17,0.0,,34,243.2,10594
69,1,-0.171,0,B,17,9,0.0,stuck,35,243.3,10595
70,300,-57.969,0,B,9,9,0.0,,35,257.5,10895
71,1,-0.162,0,B,9,9,0.0,stuck,36,257.5,10896
72,300,-62.19,0,B,9,9,0.0,,36,270.4,11196
73,1,-0.164,0,B,9,16,0.0,stuck,37,270.4,11197
74,300,-65.007,0,B,16,16,0.0,,37,283.7,11497
75,1,-0.21,0,B,16,10,0.0,stuck,38,283.8,11498
76,300,-57.042,0,B,10,10,0.0,,38,297.4,11798
77,1,-0.158,0,B,10,16,0.0,stuck,39,297.4,11799
78,300,-65.592,0,B,16,8,0.0,,39,313.2,12099
79,54,-11.102,0,B,8,16,0.0,stuck,40,316.2,12153
80,300,-70.314,0,B,16,16,0.0,,40,329.3,12453
81,1,-0.219,0,B,16,9,0.0,stuck,41,329.3,12454
82,300,-65.52,0,B,9,9,0.0,,41,343.5,12754
83,1,-0.184,0,B,9,9,0.0,stuck,42,343.5,12755
84,300,-51.457,0,B,9,11,0.0,,42,355.5,13055
85,189,-25.212,0,B,11,9,0.0,stuck,43,363.1,13244
86,122,-18.241,0,B,9,9,0.0,escape,44,368.3,13366
87,128,-24.392,0,B,9,10,0.0,escape,45,373.7,13494
88,300,-56.118,0,B,10,10,0.0,,45,389.0,13794
89,1,-0.154,0,B,10,9,0.0,stuck,46,389.0,13795
90,300,-59.336,0,B,9,8,0.0,,46,402.5,14095
91,177,-38.307,0,B,8,10,0.0,stuck,47,409.5,14272
92,300,-44.111,0,B,10,10,0.0,,47,421.7,14572
93,1,-0.153,0,B,10,9,0.0,stuck,48,421.8,14573
94,300,-47.728,0,B,9,10,0.0,,48,436.5,14873
95,61,-11.66,0,B,10,1,0.0,escape,49,439.1,14934
96,300,-57.822,0,B,1,1,0.0,,49,451.1,15234
97,1,-0.175,0,B,1,17,0.0,stuck,50,451.2,15235
98,300,-56.064,0,B,17,25,0.0,,50,464.5,15535
99,1,-0.197,0,B,25,10,0.0,stuck,51,464.6,15536
100,300,-59.927,0,B,10,10,0.0,,51,477.2,15836
101,300,-39.477,0,B,10,11,0.0,,51,489.7,16136
102,4,-0.438,0,B,11,8,0.0,stuck,52,489.8,16140
103,300,-54.418,0,B,8,8,0.0,,52,502.5,16440
104,1,-0.208,0,B,8,9,0.0,stuck,53,502.5,16441
105,300,-46.999,0,B,9,9,0.0,,53,515.2,16741
106,1,-0.165,0,B,9,9,0.0,stuck,54,515.3,16742
107,300,-50.964,0,B,9,9,0.0,,54,528.1,17042
