episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
1,1,9.954,1,A,,14,0.0,,0,0.4,1
2,300,-74.483,0,A,,7,0.0,,0,0.7,301
3,300,-59.644,0,A,,2,0.0,,0,1.2,601
4,300,-81.859,0,A,,7,0.0,,0,1.7,901
5,300,-94.676,0,A,,7,0.0,,0,2.1,1201
6,300,-99.445,0,A,,7,0.0,,0,2.5,1501
7,300,-68.815,0,A,,7,0.0,,0,3.0,1801
8,300,-74.19,0,A,,7,0.0,,0,3.4,2101
9,300,-104.618,0,A,,7,0.0,,0,4.0,2401
10,300,-72.457,0,A,,7,0.0,,0,4.3,2701
11,1,9.913,1,B,,0,0.0,,0,4.4,2702
12,1,9.954,1,A,,14,0.0,,0,4.4,2703
13,1,9.912,1,B,,24,0.0,,0,4.4,2704
14,1,9.925,1,A,,23,0.0,,0,4.5,2705
15,300,-73.137,0,A,,7,0.0,,0,5.0,3005
16,300,-72.014,0,A,,7,0.0,,0,5.5,3305
17,300,-78.356,0,A,,7,0.0,,0,6.0,3605
18,300,-97.047,0,A,,7,0.0,,0,6.5,3905
19,1,9.912,1,B,,0,0.0,,0,6.8,3906
20,1,9.954,1,A,,14,0.0,,0,6.9,3907
21,300,-89.475,0,A,,7,0.0,,0,7.6,4207
22,300,-77.535,0,A,,7,0.0,,0,8.3,4507
23,300,-94.099,0,A,,7,0.0,,0,8.9,4807
24,300,-89.285,0,A,,7,0.0,,0,13.5,5107
25,300,-43.307,0,A,,11,0.0,,0,25.6,5407
26,1,9.934,1,B,,1,0.0,,0,25.8,5408
27,300,-84.248,0,B,,1,0.0,,0,37.5,5708
28,1,9.912,1,A,,7,0.0,,0,37.7,5709
29,300,-60.931,0,A,,19,0.0,,0,48.9,6009
30,300,-50.155,0,A,,3,0.0,,0,60.3,6309
31,300,-67.451,0,A,,12,0.0,,0,72.7,6609
32,300,-57.458,0,A,,4,0.0,,0,84.3,6909
33,300,-70.18,0,A,,4,0.0,,0,96.7,7209
34,300,-52.007,0,A,,4,0.0,,0,108.2,7509
35,300,-38.367,0,A,,4,0.0,,0,119.9,7809
36,300,-40.518,0,A,,4,0.0,,0,132.8,8109
37,300,-45.59,0,A,,5,0.0,,0,149.6,8409
38,300,-40.411,0,A,,4,0.0,,0,162.5,8709
39,300,-37.699,0,A,,4,0.0,,0,175.4,9009
40,95,-13.37,0,A,,22,0.0,escape,1,179.7,9104
41,300,-40.455,0,A,,4,0.0,,1,192.6,9404
42,300,-33.936,0,A,,3,0.0,,1,205.9,9704
43,300,-34.387,0,A,,3,0.0,,1,221.4,10004
44,300,-37.971,0,A,,3,0.0,,1,237.5,10304
45,300,-30.296,0,A,,3,0.0,,1,253.9,10604
46,300,-53.349,0,A,,12,0.0,,1,266.5,10904
47,300,-31.822,0,A,,3,0.0,,1,280.2,11204
48,300,-33.811,0,A,,3,0.0,,1,293.4,11504
49,300,-30.96,0,A,,3,0.0,,1,308.1,11804
50,300,-17.359,0,A,,26,0.0,,1,323.9,12104
51,300,-29.89,0,A,,3,0.0,,1,337.8,12404
52,300,-23.887,0,A,,27,0.0,,1,350.7,12704
53,300,-30.359,0,A,,3,0.0,,1,362.5,13004
54,300,-29.651,0,A,,3,0.0,,1,375.7,13304
55,300,-66.405,0,A,,14,0.0,,1,391.1,13604
56,300,-29.873,0,A,,3,0.0,,1,404.1,13904
57,196,-33.599,0,A,,15,0.0,escape,2,412.0,14100
58,300,-38.713,0,A,,3,0.0,,2,425.8,14400
59,300,-28.717,0,A,,3,0.0,,2,439.8,14700
60,300,-23.927,0,A,,3,0.0,,2,451.5,15000
61,300,-23.968,0,A,,2,0.0,,2,465.5,15300
62,300,-25.281,0,A,,3,0.0,,2,478.1,15600
63,300,-25.668,0,A,,3,0.0,,2,490.5,15900
64,1,9.926,1,B,,16,0.0,,2,490.8,15901
65,300,-46.664,0,B,,3,0.0,,2,503.5,16201
66,300,-52.213,0,B,,3,0.0,,2,516.3,16501
67,300,-34.255,0,B,,3,0.0,,2,528.9,16801
68,300,-34.343,0,B,,3,0.0,,2,541.7,17101
69,300,-35.132,0,B,,3,0.0,,2,554.7,17401
70,300,-39.192,0,B,,3,0.0,,2,567.7,17701
71,300,-34.661,0,B,,3,0.0,,2,580.6,18001
72,300,-36.665,0,B,,3,0.0,,2,593.5,18301
73,300,-35.446,0,B,,3,0.0,,2,606.3,18601
74,300,-35.492,0,B,,3,0.0,,2,619.2,18901
75,300,-41.093,0,B,,3,0.0,,2,632.0,19201
76,300,-39.62,0,B,,3,0.0,,2,645.2,19501
77,300,-32.992,0,B,,3,0.0,,2,658.3,19801
78,300,-32.649,0,B,,3,0.0,,2,671.5,20101
79,300,-35.444,0,B,,3,0.0,,2,684.5,20401
80,300,-38.525,0,B,,3,0.0,,2,697.6,20701
81,300,-36.404,0,B,,3,0.0,,2,710.5,21001
82,300,-34.3,0,B,,20,0.0,,2,723.7,21301
83,300,-67.213,0,B,,3,0.0,,2,737.0,21601
84,300,-53.127,0,B,,3,0.0,,2,749.9,21901
85,300,-61.85,0,B,,3,0.0,,2,762.8,22201
86,300,-33.065,0,B,,3,0.0,,2,776.0,22501
87,300,-36.565,0,B,,3,0.0,,2,789.2,22801
88,300,-35.296,0,B,,3,0.0,,2,802.2,23101
89,300,-70.426,0,B,,27,0.0,,2,815.2,23401
90,300,-36.497,0,B,,3,0.0,,2,828.5,23701
91,300,-38.069,0,B,,3,0.0,,2,841.5,24001
92,300,-41.875,0,B,,3,0.0,,2,854.6,24301
93,300,-72.444,0,B,,3,0.0,,2,867.6,24601
94,300,-75.831,0,B,,3,0.0,,2,880.0,24901
