episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-69.703,0,B,0,0.2,300
2,300,-103.021,0,A,0,0.3,600
3,300,-68.296,0,B,0,0.5,900
4,300,-83.081,0,A,0,0.7,1200
5,300,-82.43,0,B,0,0.8,1500
6,300,-67.938,0,A,0,1.0,1800
7,300,-74.369,0,B,0,1.2,2100
8,300,-92.181,0,A,0,1.4,2400
9,300,-74.375,0,B,0,1.6,2700
10,300,-70.141,0,A,0,1.8,3000
11,300,-67.597,0,B,0,2.0,3300
12,300,-71.799,0,A,0,2.2,3600
13,300,-76.643,0,B,0,2.3,3900
14,300,-86.158,0,A,0,2.5,4200
15,300,-78.615,0,B,0,2.7,4500
16,300,-73.962,0,A,0,2.8,4800
17,300,-79.598,0,B,0,5.4,5100
18,300,-49.272,0,A,0,12.1,5400
19,300,-83.383,0,B,0,18.8,5700
20,300,-71.387,0,A,0,25.5,6000
21,300,-78.727,0,B,0,32.2,6300
22,300,-87.795,0,A,0,38.8,6600
23,300,-64.976,0,B,0,45.5,6900
24,300,-85.678,0,A,0,52.2,7200
25,300,-80.55,0,B,0,59.6,7500
26,300,-77.784,0,A,0,66.3,7800
27,300,-67.71,0,B,0,73.0,8100
28,300,-63.884,0,A,0,79.7,8400
29,300,-52.934,0,B,0,86.4,8700
30,300,-73.413,0,A,0,93.0,9000
31,300,-63.794,0,B,0,99.6,9300
32,300,-65.91,0,A,0,106.3,9600
33,300,-65.094,0,B,0,113.0,9900
34,300,-70.848,0,A,0,120.2,10200
35,300,-51.384,0,B,0,127.0,10500
36,300,-68.085,0,A,0,133.7,10800
37,300,-62.796,0,B,0,140.4,11100
38,300,-57.296,0,A,0,147.1,11400
39,300,-47.918,0,B,0,153.8,11700
40,300,-60.855,0,A,0,160.5,12000
41,300,-73.613,0,B,0,167.1,12300
42,300,-61.634,0,A,0,173.9,12600
43,300,-71.036,0,B,0,181.0,12900
44,300,-60.99,0,A,0,187.7,13200
45,300,-53.802,0,B,0,194.7,13500
46,300,-69.477,0,A,0,201.3,13800
47,300,-63.577,0,B,0,207.9,14100
48,300,-61.814,0,A,0,214.6,14400
49,300,-57.033,0,B,0,221.2,14700
50,300,-52.833,0,A,0,228.0,15000
51,300,-57.312,0,B,0,234.9,15300
52,300,-59.729,0,A,0,241.9,15600
53,300,-53.865,0,B,0,248.6,15900
54,300,-61.178,0,A,0,255.3,16200
55,300,-43.074,0,B,0,262.1,16500
56,300,-62.814,0,A,0,268.8,16800
57,300,-35.552,0,B,0,275.5,17100
58,300,-55.385,0,A,0,282.2,17400
59,300,-42.795,0,B,0,288.8,17700
60,300,-51.924,0,A,0,295.9,18000
61,300,-51.302,0,B,0,303.2,18300
62,300,-27.482,0,A,0,309.9,18600
63,300,-51.882,0,B,0,316.6,18900
64,300,-44.879,0,A,0,323.5,19200
65,300,-62.877,0,B,0,330.2,19500
66,154,-15.937,1,A,0,333.6,19654
67,300,-63.021,0,B,0,340.2,19954
68,300,-63.039,0,A,0,346.8,20254
69,300,-62.74,0,B,0,353.5,20554
70,300,-54.664,0,A,0,360.6,20854
71,300,-56.914,0,B,0,367.4,21154
72,300,-63.304,0,A,0,374.1,21454
73,300,-52.629,0,B,0,380.8,21754
74,300,-57.408,0,A,0,387.5,22054
75,300,-47.79,0,B,0,394.2,22354
76,300,-58.166,0,A,0,400.8,22654
77,300,-64.407,0,B,0,407.5,22954
78,300,-49.117,0,A,0,414.1,23254
79,300,-42.76,0,B,0,421.2,23554
80,300,-57.404,0,A,0,428.0,23854
81,300,-50.217,0,B,0,434.7,24154
82,300,-52.467,0,A,0,441.3,24454
83,300,-43.705,0,B,0,448.0,24754
84,300,-52.972,0,A,0,479.3,25054
85,300,-54.376,0,B,0,486.1,25354
86,300,-54.916,0,A,0,492.9,25654
87,300,-52.213,0,B,0,499.7,25954
88,300,-51.211,0,A,0,506.4,26254
89,300,-48.575,0,B,0,513.0,26554
90,300,-54.012,0,A,0,519.6,26854
91,300,-51.69,0,B,0,526.2,27154
92,300,-53.845,0,A,0,532.9,27454
93,300,-49.956,0,B,0,540.2,27754
94,300,-59.007,0,A,0,546.9,28054
95,300,-58.098,0,B,0,553.5,28354
96,300,-44.846,0,A,0,560.2,28654
97,300,-46.739,0,B,0,566.8,28954
98,300,-50.631,0,A,0,573.5,29254
99,300,-50.11,0,B,0,580.1,29554
