episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-78.207,0,B,0,0.6,300
2,300,-77.187,0,A,0,1.0,600
3,300,-65.249,0,B,0,1.4,900
4,300,-76.373,0,A,0,1.7,1200
5,300,-88.858,0,B,0,2.0,1500
6,300,-65.388,0,A,0,2.3,1800
7,300,-66.419,0,B,0,2.7,2100
8,300,-53.996,0,A,0,3.1,2400
9,300,-67.889,0,B,0,3.4,2700
10,300,-79.997,0,A,0,3.7,3000
11,300,-68.788,0,B,0,4.0,3300
12,300,-58.605,0,A,0,4.2,3600
13,300,-70.612,0,B,0,4.5,3900
14,300,-95.148,0,A,0,4.9,4200
15,300,-70.465,0,B,0,5.2,4500
16,300,-92.786,0,A,0,5.6,4800
17,300,-52.285,0,B,0,10.2,5100
18,300,-65.852,0,A,0,21.1,5400
19,300,-63.943,0,B,0,32.6,5700
20,300,-82.527,0,A,0,43.6,6000
21,300,-90.354,0,B,0,55.1,6300
22,300,-60.982,0,A,0,66.7,6600
23,300,-62.624,0,B,0,78.0,6900
24,300,-68.85,0,A,0,89.4,7200
25,300,-55.6,0,B,0,100.9,7500
26,300,-76.73,0,A,0,112.2,7800
27,300,-79.801,0,B,0,123.6,8100
28,300,-96.246,0,A,0,135.1,8400
29,300,-74.782,0,B,0,146.7,8700
30,300,-74.003,0,A,0,159.4,9000
31,300,-73.207,0,B,0,171.4,9300
32,300,-76.452,0,A,0,183.0,9600
33,300,-55.299,0,B,0,194.6,9900
34,300,-51.682,0,A,0,206.9,10200
35,300,-70.745,0,B,0,218.9,10500
36,300,-83.309,0,A,0,230.7,10800
37,300,-65.548,0,B,0,242.5,11100
38,300,-52.663,0,A,0,254.7,11400
39,300,-61.615,0,B,0,266.5,11700
40,300,-46.881,0,A,0,278.3,12000
41,300,-55.661,0,B,0,291.1,12300
42,300,-56.725,0,A,0,305.7,12600
43,300,-59.84,0,B,0,320.4,12900
44,300,-53.323,0,A,0,336.6,13200
45,300,-54.061,0,B,0,353.1,13500
46,300,-48.93,0,A,0,369.6,13800
47,300,-49.503,0,B,0,388.8,14100
48,300,-48.579,0,A,0,404.8,14400
49,300,-53.702,0,B,0,418.9,14700
50,300,-59.784,0,A,0,431.9,15000
51,300,-55.235,0,B,0,444.5,15300
52,300,-57.916,0,A,0,457.4,15600
53,300,-47.043,0,B,0,469.9,15900
54,300,-52.181,0,A,0,482.5,16200
55,300,-54.583,0,B,0,495.9,16500
56,300,-51.808,0,A,0,508.8,16800
57,300,-58.794,0,B,0,521.7,17100
58,300,-62.897,0,A,0,534.2,17400
59,300,-63.034,0,B,0,547.1,17700
60,300,-52.333,0,A,0,559.6,18000
61,300,-65.952,0,B,0,572.4,18300
62,300,-54.234,0,A,0,584.8,18600
63,300,-70.101,0,B,0,598.1,18900
