episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-78.339,0,B,0,0.3,300
2,300,-85.543,0,B,0,0.5,600
3,300,-75.754,0,B,0,0.6,900
4,300,-83.877,0,B,0,0.8,1200
5,300,-86.477,0,B,0,1.1,1500
6,300,-71.94,0,B,0,1.3,1800
7,300,-84.534,0,B,0,1.5,2100
8,300,-91.481,0,B,0,1.6,2400
9,300,-65.627,0,B,0,1.9,2700
10,300,-63.353,0,B,0,2.0,3000
11,300,-62.974,0,B,0,2.3,3300
12,300,-81.597,0,B,0,2.4,3600
13,300,-72.417,0,B,0,2.6,3900
14,300,-98.362,0,B,0,2.9,4200
15,300,-73.953,0,B,0,3.2,4500
16,300,-78.429,0,B,0,3.4,4800
17,300,-78.051,0,B,0,6.6,5100
18,300,-81.499,0,B,0,13.4,5400
19,300,-80.736,0,B,0,19.4,5700
20,300,-88.791,0,B,0,25.4,6000
21,300,-75.801,0,B,0,32.6,6300
22,300,-91.972,0,B,0,38.6,6600
23,300,-70.638,0,B,0,44.6,6900
24,300,-99.265,0,B,0,51.3,7200
25,300,-84.332,0,B,0,57.0,7500
26,300,-77.118,0,B,0,62.4,7800
27,300,-73.836,0,B,0,67.8,8100
28,300,-68.431,0,B,0,73.1,8400
29,300,-74.118,0,B,0,78.9,8700
30,300,-77.601,0,B,0,85.5,9000
31,300,-80.047,0,B,0,92.7,9300
32,300,-77.36,0,B,0,100.0,9600
33,300,-70.868,0,B,0,110.4,9900
34,300,-73.535,0,B,0,119.6,10200
35,300,-72.443,0,B,0,129.3,10500
36,300,-71.487,0,B,0,138.9,10800
37,300,-77.373,0,B,0,148.0,11100
38,300,-74.631,0,B,0,157.5,11400
39,300,-72.164,0,B,0,166.6,11700
40,300,-72.747,0,B,0,175.6,12000
41,300,-74.209,0,B,0,184.4,12300
42,300,-73.431,0,B,0,193.2,12600
43,300,-66.898,0,B,0,202.1,12900
44,300,-69.725,0,B,0,211.0,13200
45,300,-64.397,0,B,0,220.6,13500
46,300,-73.337,0,B,0,230.5,13800
47,300,-73.547,0,B,0,239.6,14100
48,300,-68.893,0,B,0,248.4,14400
49,300,-65.661,0,B,0,257.6,14700
50,300,-62.833,0,B,0,266.8,15000
51,300,-62.22,0,B,0,275.7,15300
52,300,-64.952,0,B,0,284.8,15600
53,300,-62.375,0,B,0,294.7,15900
54,300,-65.191,0,B,0,303.8,16200
55,300,-64.294,0,B,0,313.1,16500
56,300,-77.747,0,B,0,322.1,16800
57,300,-60.853,0,B,0,331.7,17100
58,300,-64.357,0,B,0,340.6,17400
59,300,-64.019,0,B,0,350.9,17700
60,300,-84.668,0,B,0,363.2,18000
61,300,-87.1,0,B,0,375.8,18300
62,300,-86.601,0,B,0,388.6,18600
63,300,-83.631,0,B,0,401.2,18900
64,300,-80.28,0,B,0,413.9,19200
65,300,-81.889,0,B,0,426.7,19500
66,300,-86.395,0,B,0,439.4,19800
67,300,-88.806,0,B,0,452.2,20100
68,300,-89.815,0,B,0,462.1,20400
69,300,-92.503,0,B,0,471.8,20700
70,300,-86.708,0,B,0,481.0,21000
71,300,-81.558,0,B,0,490.7,21300
72,300,-82.409,0,B,0,499.7,21600
73,300,-81.295,0,B,0,508.7,21900
74,300,-74.499,0,B,0,517.6,22200
75,300,-72.629,0,B,0,526.3,22500
76,300,-66.462,0,B,0,535.3,22800
