episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-61.725,0,B,0,0.8,2400
2,300,-64.946,0,B,0,1.6,4800
3,300,-80.432,0,B,0,15.0,7200
4,300,-81.878,0,B,0,29.4,9600
5,300,-86.83,0,B,0,43.3,12000
6,300,-100.056,0,B,0,55.6,14400
7,300,-91.826,0,B,0,70.3,16800
8,300,-76.561,0,B,0,82.4,19200
9,300,-70.03,0,B,0,95.9,21600
10,300,-63.148,0,B,0,108.1,24000
11,300,-73.809,0,B,0,144.3,26400
12,300,-72.456,0,B,0,156.5,28800
13,300,-75.915,0,B,0,169.3,31200
14,300,-75.504,0,B,0,181.2,33600
15,300,-75.663,0,B,0,193.4,36000
16,300,-80.244,0,B,0,205.8,38400
17,300,-73.804,0,B,0,218.0,40800
18,300,-68.036,0,B,0,230.1,43200
19,300,-70.459,0,B,0,242.1,45600
20,300,-75.012,0,B,0,253.9,48000
21,300,-72.278,0,B,0,289.3,50400
22,300,-67.952,0,B,0,302.5,52800
23,300,-69.217,0,B,0,317.2,55200
24,300,-73.706,0,B,0,329.4,57600
25,300,-78.108,0,B,0,343.1,60000
26,300,-84.218,0,B,0,355.4,62400
27,300,-82.185,0,B,0,367.3,64800
28,300,-78.656,0,B,0,379.6,67200
29,300,-78.824,0,B,0,392.2,69600
30,300,-75.043,0,B,0,405.8,72000
31,300,-67.294,0,B,0,417.8,74400
32,300,-65.908,0,B,0,452.1,76800
