episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
1,300,-78.339,0,B,25,25,0.0,,0,0.2,300
2,1,-0.193,0,B,25,17,0.0,stuck,1,0.2,301
3,300,-85.077,0,B,17,17,0.0,,1,0.4,601
4,1,-0.18,0,B,17,9,0.0,stuck,2,0.4,602
5,300,-50.095,0,B,9,9,0.0,,2,0.6,902
6,1,-0.162,0,B,9,9,0.0,stuck,3,0.6,903
7,300,-91.552,0,B,9,9,0.0,,3,0.8,1203
8,1,-0.193,0,B,9,9,0.0,stuck,4,0.8,1204
9,300,-86.124,0,B,9,9,0.0,,4,1.0,1504
10,1,-0.164,0,B,9,18,0.0,stuck,5,1.0,1505
11,300,-58.746,0,B,18,18,0.0,,5,1.2,1805
12,1,-0.154,0,B,18,18,0.0,stuck,6,1.2,1806
13,300,-80.535,0,B,18,18,0.0,,6,1.4,2106
14,1,-0.154,0,B,18,17,0.0,stuck,7,1.4,2107
15,300,-90.123,0,B,17,17,0.0,,7,1.5,2407
16,1,-0.176,0,B,17,8,0.0,stuck,8,1.5,2408
17,300,-66.288,0,B,8,8,0.0,,8,1.7,2708
18,1,-0.22,0,B,8,16,0.0,stuck,9,1.7,2709
19,300,-68.512,0,B,16,16,0.0,,9,1.9,3009
20,1,-0.205,0,B,16,17,0.0,stuck,10,1.9,3010
21,300,-63.389,0,B,17,17,0.0,,10,2.1,3310
22,1,-0.184,0,B,17,8,0.0,stuck,11,2.1,3311
23,300,-83.54,0,B,8,8,0.0,,11,2.3,3611
24,1,-0.207,0,B,8,16,0.0,stuck,12,2.3,3612
25,300,-78.665,0,B,16,16,0.0,,12,2.5,3912
26,1,-0.209,0,B,16,10,0.0,stuck,13,2.5,3913
27,300,-75.616,0,B,10,10,0.0,,13,2.7,4213
28,1,-0.152,0,B,10,8,0.0,stuck,14,2.7,4214
29,300,-84.499,0,B,8,8,0.0,,14,2.9,4514
30,1,-0.206,0,B,8,16,0.0,stuck,15,2.9,4515
31,300,-79.825,0,B,16,16,0.0,,15,3.0,4815
32,1,-0.212,0,B,16,9,0.0,stuck,16,3.0,4816
33,300,-81.028,0,B,9,9,0.0,,16,6.8,5116
34,1,-0.191,0,B,9,17,0.0,stuck,17,6.8,5117
35,300,-78.666,0,B,17,17,0.0,,17,13.4,5417
36,1,-0.198,0,B,17,9,0.0,stuck,18,13.5,5418
37,300,-80.888,0,B,9,9,0.0,,18,19.5,5718
38,1,-0.169,0,B,9,16,0.0,stuck,19,19.5,5719
39,300,-90.253,0,B,16,16,0.0,,19,25.9,6019
40,1,-0.211,0,B,16,17,0.0,stuck,20,25.9,6020
41,300,-79.655,0,B,17,16,0.0,,20,32.0,6320
42,58,-12.655,0,B,16,16,0.0,stuck,21,33.2,6378
43,300,-74.369,0,B,16,16,0.0,,21,38.9,6678
44,1,-0.204,0,B,16,9,0.0,stuck,22,38.9,6679
45,300,-56.243,0,B,9,9,0.0,,22,44.5,6979
46,215,-61.177,0,B,9,9,0.0,stuck,23,49.2,7194
47,300,-68.049,0,B,9,10,0.0,,23,55.6,7494
48,48,-7.658,0,B,10,9,0.0,stuck,24,56.6,7542
49,300,-64.531,0,B,9,9,0.0,,24,63.7,7842
50,1,-0.183,0,B,9,25,0.0,stuck,25,63.7,7843
51,96,-17.368,0,B,25,18,0.0,escape,26,65.5,7939
52,300,-72.053,0,B,18,18,0.0,,26,71.1,8239
53,1,-0.156,0,B,18,17,0.0,stuck,27,71.1,8240
54,300,-56.358,0,B,17,17,0.0,,27,77.0,8540
55,1,-0.179,0,B,17,9,0.0,stuck,28,77.0,8541
56,300,-62.561,0,B,9,9,0.0,,28,83.0,8841
57,1,-0.183,0,B,9,17,0.0,stuck,29,83.0,8842
58,300,-59.156,0,B,17,17,0.0,,29,89.0,9142
59,1,-0.17,0,B,17,17,0.0,stuck,30,89.0,9143
60,300,-67.239,0,B,17,17,0.0,,30,94.6,9443
61,1,-0.182,0,B,17,9,0.0,stuck,31,94.6,9444
62,300,-58.667,0,B,9,9,0.0,,31,100.2,9744
63,1,-0.198,0,B,9,9,0.0,stuck,32,100.3,9745
64,300,-68.224,0,B,9,9,0.0,,32,106.8,10045
65,1,-0.197,0,B,9,9,0.0,stuck,33,106.8,10046
66,300,-61.467,0,B,9,9,0.0,,33,112.6,10346
67,1,-0.173,0,B,9,17,0.0,stuck,34,112.7,10347
68,300,-62.878,0,B,17,17,0.0,,34,119.2,10647
69,1,-0.171,0,B,17,9,0.0,stuck,35,119.2,10648
70,300,-58.178,0,B,9,9,0.0,,35,124.9,10948
71,1,-0.162,0,B,9,9,0.0,stuck,36,124.9,10949
72,300,-66.567,0,B,9,9,0.0,,36,130.6,11249
73,1,-0.165,0,B,9,16,0.0,stuck,37,130.6,11250
74,300,-70.998,0,B,16,16,0.0,,37,137.0,11550
75,1,-0.21,0,B,16,10,0.0,stuck,38,137.0,11551
76,300,-55.545,0,B,10,10,0.0,,38,143.6,11851
77,1,-0.159,0,B,10,16,0.0,stuck,39,143.6,11852
78,300,-68.436,0,B,16,16,0.0,,39,149.5,12152
79,1,-0.221,0,B,16,16,0.0,stuck,40,149.5,12153
80,300,-69.613,0,B,16,16,0.0,,40,155.3,12453
81,1,-0.219,0,B,16,9,0.0,stuck,41,155.3,12454
82,300,-66.218,0,B,9,9,0.0,,41,160.9,12754
83,1,-0.184,0,B,9,9,0.0,stuck,42,160.9,12755
84,300,-58.977,0,B,9,9,0.0,,42,166.1,13055
85,1,-0.193,0,B,9,9,0.0,stuck,43,166.1,13056
86,300,-43.227,0,B,9,3,0.0,,43,171.5,13356
87,162,-21.174,0,B,3,9,0.0,stuck,44,174.5,13518
88,300,-63.739,0,B,9,24,0.0,,44,180.7,13818
89,88,-18.373,0,B,24,10,0.0,stuck,45,182.6,13906
90,300,-47.327,0,B,10,18,0.0,,45,189.5,14206
91,157,-22.64,0,B,18,9,0.0,stuck,46,193.9,14363
92,300,-55.834,0,B,9,9,0.0,,46,199.9,14663
93,1,-0.186,0,B,9,10,0.0,stuck,47,200.0,14664
94,109,-16.673,0,B,10,9,0.0,escape,48,201.9,14773
95,300,-58.546,0,B,9,9,0.0,,48,208.1,15073
96,1,-0.173,0,B,9,1,0.0,stuck,49,208.2,15074
97,300,-52.965,0,B,1,1,0.0,,49,215.5,15374
98,1,-0.184,0,B,1,17,0.0,stuck,50,215.5,15375
99,300,-56.133,0,B,17,17,0.0,,50,221.7,15675
100,1,-0.186,0,B,17,10,0.0,stuck,51,221.8,15676
101,300,-47.828,0,B,10,10,0.0,,51,227.7,15976
102,1,-0.159,0,B,10,8,0.0,stuck,52,227.7,15977
103,300,-57.321,0,B,8,8,0.0,,52,233.3,16277
104,1,-0.205,0,B,8,9,0.0,stuck,53,233.3,16278
105,300,-48.187,0,B,9,9,0.0,,53,238.8,16578
106,1,-0.166,0,B,9,9,0.0,stuck,54,238.8,16579
107,300,-54.227,0,B,9,9,0.0,,54,244.2,16879
108,1,-0.189,0,B,9,17,0.0,stuck,55,244.2,16880
109,300,-46.657,0,B,17,18,0.0,,55,249.6,17180
110,1,-0.158,0,B,18,18,0.0,stuck,56,249.6,17181
111,300,-54.284,0,B,18,10,0.0,,56,255.0,17481
112,71,-10.372,0,B,10,8,0.0,stuck,57,256.4,17552
113,300,-63.544,0,B,8,8,0.0,,57,261.8,17852
114,1,-0.218,0,B,8,18,0.0,stuck,58,261.8,17853
115,300,-46.092,0,B,18,17,0.0,,58,267.4,18153
116,300,-47.585,0,B,17,0,0.0,,58,272.8,18453
117,242,-48.969,0,B,0,18,0.0,stuck,59,277.2,18695
118,300,-44.683,0,B,18,1,0.0,,59,283.7,18995
119,228,-36.358,0,B,1,16,0.0,stuck,60,288.4,19223
120,300,-65.903,0,B,16,16,0.0,,60,294.2,19523
121,1,-0.206,0,B,16,8,0.0,stuck,61,294.2,19524
122,300,-56.082,0,B,8,8,0.0,,61,300.2,19824
123,1,-0.22,0,B,8,17,0.0,stuck,62,300.2,19825
124,300,-49.783,0,B,17,17,0.0,,62,307.2,20125
125,300,-49.308,0,B,17,10,0.0,,62,319.3,20425
126,300,-42.685,0,B,10,1,0.0,,62,330.9,20725
127,168,-25.351,0,B,1,25,0.0,stuck,63,337.6,20893
128,300,-52.334,0,B,25,25,0.0,,63,347.4,21193
129,300,-50.031,0,B,25,17,0.0,,63,355.6,21493
130,216,-37.374,0,B,17,17,0.0,stuck,64,361.8,21709
131,300,-52.106,0,B,17,9,0.0,,64,370.3,22009
132,280,-45.369,0,B,9,8,0.0,stuck,65,378.6,22289
133,300,-53.896,0,B,8,8,0.0,,65,387.0,22589
134,1,-0.213,0,B,8,8,0.0,stuck,66,387.0,22590
135,300,-54.206,0,B,8,8,0.0,,66,394.8,22890
136,1,-0.217,0,B,8,16,0.0,stuck,67,394.8,22891
137,300,-56.106,0,B,16,16,0.0,,67,403.1,23191
138,1,-0.204,0,B,16,8,0.0,stuck,68,403.1,23192
139,300,-57.46,0,B,8,8,0.0,,68,411.2,23492
140,1,-0.211,0,B,8,16,0.0,stuck,69,411.2,23493
141,300,-65.987,0,B,16,16,0.0,,69,419.7,23793
142,1,-0.213,0,B,16,8,0.0,stuck,70,419.7,23794
143,300,-58.481,0,B,8,8,0.0,,70,428.3,24094
